ativo;obra;situacao;data_encerramento
5800291077;0612600478;encerrada;2026-06-22
5800366016;0612600152;em andamento;
5800371025;0712600318;em andamento;
5800438116;0512600179;em andamento;
5800859011;0712600419;concluida fisica sem encerramento;
5801866013;0212600539;concluida fisica sem encerramento;
5820790038;0512400342;encerrada;2024-12-31
5827102054;0212600537;indeferida;
5836786094;0412600550;em andamento;
5844630060;0612600626;concluida fisica sem encerramento;
5850308009;0712600418;indeferida;
5851753086;0212500355;encerrada;2025-08-28
5853360007;0212400905;encerrada;2024-12-06
5854566043;0312600352;concluida fisica sem encerramento;
5855411017;0212600536;indeferida;
5856070091;0512600177;em andamento;
5858783119;0662600361;indeferida;
7900018004;0612600439;encerrada;2026-06-26
7900117013;0212600422;concluida fisica sem encerramento;
7900230155;0712600318;em andamento;
7900453110;0312600264;em andamento;
7900573047;0412600391;concluida fisica sem encerramento;
7900594026;0312600354;em andamento;
7900930040;0612500816;encerrada;2025-10-15
7908686014;0212600425;concluida fisica sem encerramento;
7908705049;0512600135;em andamento;
7908716091;0512500291;em andamento;
7919270014;0212501060;encerrada;2026-03-26
7925087021;0412600392;em andamento;
7927169001;0112600425;concluida fisica sem encerramento;
7929376022;0612600565;em andamento;
7930428001;0312400657;encerrada;2025-01-24
7931610122;0112600383;concluida fisica sem encerramento;
7933726256;0312600351;concluida fisica sem encerramento;
7933766059;0112600424;em andamento;
7934698002;0662600265;encerrada;2026-06-29
7938137007;0212600423;em andamento;
7943790134;0662600266;encerrada;2026-06-30
7955520116;0512600178;em andamento;
7957126085;0212600428;em andamento;
7957620015;0712600316;concluida fisica sem encerramento;
