Ativo;Tipo;Localidade;Polo;Regional;SS aberta;Parecer COEP;Observação;Check de concluídas;Defeito identificado;Quantidade;Descrição SS;Premissa 1;Premissa 2;Premissa 3;Premissa 4;Premissa 5;Premissa 6;Premissa 7;Premissa 8;Priorização;Criticidade;Observação após análise;;Legenda;
5800090147;58;TAIPAS DO TOCANTINS;DIANOPOLIS;SUL;CONCLUÍDA;Cancelada em operação;;Ok;;;;0;20;20;10;10;-;-;-;60;Média;Atendimento de Taipas;;;
5800291035;58;MONTE DO CARMO;PONTE ALTA TOCANTINS;CENTRO;CONCLUÍDA;Aguardando comissionamento;Concluído Melhoria de aterramento;Em andamento;Melhoria de aterramento;1;PARECER DMSL: Feito testes funcionais nas 3 células do banco as mesmas corresponderam aos testes. Será necessário fazer a correção da malha de terra, baixar o banco completo pois está muito alto dificultando as atividades da equipe, substituir as 3 chaves facas do lado Fonte e as 3 do lado Carga instalar suporte inclinado das chaves para facilitar as manobras. Colocar cinta no controle RUA abaixar o mesmo, pois está muito alto e fixado com um mosquetão oval, quando retornar para colocar em operação levar 3 baterias de 7a e rele rua.Obs.: Fizeram melhoria na malha de terra, mas não está dentro do aceitável! As outras pendências continuam, favor corrigir. Equipamento ficou em operação?: Não  - Equipe: Benvindo e Kaique- SS ANTIGA ETO-TELE 358/2026;0;20;20;10;0;-;-;-;50;Média;Aumento de reclamações no atendimento de Silvanópolis por Monte do Carmo no período seco;;;
5800291077;58;GOIATINS;ARAGUAINA;NORTE;CONCLUÍDA;Cancelada em operação;;Ok;;;;40;20;20;20;20;-;-;-;120;Muito Alta;Aumento de reclamações no atendimento de Goiatins e GAs relevantes na região;;;
5800366016;58;WANDERLANDIA;TOCANTINOPOLIS;NORTE;CONCLUÍDA;Cancelada em operação;;Ok;;;;0;20;20;20;10;-;-;-;70;Alta;Aumento de reclamações no atendimento de Wanderlândia no período seco;;;
5800371025;58;ARAPOEMA;COLINAS DO TOCANTINS;NORTE;ETO-TELE 01040/2026;Aguardando comissionamento;Concluído Reporte Kelliton;Em andamento;Controle;1;16/07/2026 PARECER COEP: ALINHADO COM O KELLITON REALIZAR SUBSTITUIÇÃO DO CONTROLE DE TUPIRAMA, ALINHADO COM O JEAN QUE OS CABOS COMPATIBILIZADORES VÃO CHEGAR 16/08 , ATÉ ESSA DATA MANTER ESSA SS E CONTROLE RUA, DEPOIS REPASSAR PARA O DMSLPARECER COEP: AVALIAR COM O LEANDRO, PROVAVELMENTE SÓ COMPRAPARECER DMSL: Após testes foi constatado defeito nos relés da fase A e B, Modelo Toshiba TBR 1000. Se possível, substituir os relés das 3 fases por controle RUA, disponibilizar os cabos de ligação entre o tanque e o controle para possibilitar a compatibilização do equipamento. Fornecer kit de comunicação, rádio, antena, etc.Segue nota para veriifcar falha em regulador de tensão N: 5800371025 dentro S/E Arapoema , equipamento esta com 2 reles com falha  marca toshiba .Parecer DCMD: foi substituido célula 30/07/2026. o mesmo está liberado para ser colocado em operação;0;20;20;10;20;-;-;-;70;Alta;Aumento de reclamações no atendimento de Arapoema no período seco;;;
5800438116;58;CHAPADA DA NATIVIDADE;DIANOPOLIS;SUL;CONCLUÍDA;Concluído DCMD e DMSL;Reporte Dener;Em andamento;Célula;2;;0;20;20;20;0;-;-;-;60;Média;Atendimento da região da Engegold, Nativa, cidade Natividade e Chapada da Natividade (Fonte alternativa);;;
5800440256;58;MATEIROS;PONTE ALTA TOCANTINS;CENTRO;ETO-COEP 00169/2026;Cancelada em operação;;Ok;;;PARECER DMSL 06/08: Substituir célula da Fase B do banco de Regulador de tensão e realizar melhorias na malha de aterramento do ReguladorBoa noite,Segue SS para as devidas tratativas, verificar flutuação de tensão do regulador 5800440256 pois a tensão está oscilando de 16kv a 23kv    favor verificar esta anomalia pois cliente BRK está abrindo reclamação todas as noites.;20;20;20;10;20;-;-;-;90;Muito Alta;Aumento de reclamações no atendimento de São Felix e Mateiros no período seco;;;
5800859011;58;TUPIRAMA;GUARAI;NORTE;CONCLUÍDA;Concluído DCMD;Equipamento alinhado com o Jean para colocar os cabos compatibilizadores , vamos só instalar o controle e o suporte;Em andamento;Controle;1;;40;20;20;10;20;-;-;-;110;Muito Alta;Atendimento de parte da RDU Guaraí por fonte alternativa;;;
5800961074;58;DIANOPOLIS;DIANOPOLIS;SUL;ETO-COEP 00221/2025;Equipamento em Logistica;Vamos retirar de uma obra de construção de uma linha antiga e usar na manutenção;Pendente;Células + melhoria de aterramento;3;PARECER COEP: EQUIPAMENTO SELECIONADO PARA COMPRASubstituir as 3 células- Melhoria na malha de aterramento - Melhoria no circuito de aterramento qua aterra as células.- Substituir conectores paralelos;20;0;0;20;0;-;-;-;40;Média;Atendimento da COELBA e GA Alessandro Maurício (1600 kVA);;;
5801866013;58;PARAISO DO TOCANTINS;PARAISO DO TOCANTINS;CENTRO;ETO-PROT 00151/2026;Em fase de ajustes;;Em andamento;Célula;1;15/07 PARECER COCM, FOI ATENDIDA PELA OS ETO-RD-PS 1616/2026 OBRA-021260053910/07 PARECER COEP: EQUIPAMENTO ENTREGUE AOS COCM´S FAVOR INFORMAR PRAZO DE SUBSTUIÇÃO PARA O DMSL E REPASSAR DEPOIS PARA PROTEÇÃO REALIZAR OS AJUSTES E DESCREVER NA SS O SERVIÇO REALIZADOPARECER COEP: EM PROCESSO DE ENTREGAPARECER DMSL: RT 5801866013Serviço Executado: Feito a medição da malha de terra. Identificado infiltração na caixa de passagem da célula da fase C do banco regulador de tensão, será necessário fazer a substituição da mesma! Ficar atento na hora da substituição, deverá ser substituída a célula do lado da BR.Obs.: Será necessário baixar todo o banco pelo menos um metro, as buchas estão muito próximas a parte energizada não oferecem segurança para equipe no momento do ensaio elétrico.Equipamento ficou em operação?: Não Possui nobreak: SimPossui antena: SimPossui rádio:SimPendência: SimData da bateria:  Equipe: Benvindo e Kaique._______________________________________________RT 5801866013BY PASSADO DEVIDO DEFEITO EM CELULA BEMVINDO ESTEVE NO LOCAL JUNTO AO COD .NECESSARIO TRATATIVA PARA MESMA .FASE DANIFICADO C;0;20;20;20;10;-;-;-;70;Alta;Atendimento da RDU Luzimangues Industrial por fonte alternativa;;;
5803327001;58;PORTO NACIONAL;PORTO NACIONAL;CENTRO;ETO-COEP 00149/2026;Em processo logístico;Aguardando o Marcelo Primo gerar a obra em abertura contabil;Em andamento;Controle e aterramento;1;01/07 PARECER COEP: FOI CONFIRMADO COM A OPERAÇÃO QUE O EQUIPAMENTO SEGUIU O FLUXO INTEIRO DE COMISSIONAMENTO, PROTEÇÃO, FAVOR EXPLICAR O QUE FOI REALIZADO E SE EQUIPAMENTO ESTÁ OPERANDO, SENÃO ESTIVER EXPLICAR O QUE FOI FEITO NELE30/06PARECER COEP: REPASSAR DIRETAMENTE PARA OS COCM'SRegulador 5803327001 fora de operação, by passado em campo com painel de comunicação com cabos desconectados tensão 13.8.parecer DMSL: Feedback Equip. EspeciaisRT 5803327001RELÉ RUASid: 4844Data: 19/09/2025Serviço realizado:*Equipamento foi remanejado, 7 km da sua localização sentido Palmas necessário comissionamento completo*Equipamento com um dos cabos umbilicais danificado.* aterramento bucha FC não esta interligada corretamente * para-raios estão no mesmo aterramento da bucha FC.* Tranques  muito alto e próximo da rede  não permitindo o comissionamento com segurança.* Controle alto  demais tem que baixar Equipamento ficou em operação?: nãoPendência: sim, precisa comissionar completoOBS;40;0;0;20;20;-;-;-;80;Alta;Em caso de perca da fonte principal é necessário esse RT para alimentação da Frísia;;;
5820790038;58;TAGUATINGA;DIANOPOLIS;SUL;CONCLUÍDA;Cancelada em operação;;;;;;;;;;;;;;0;;;;;
