Equipamento;Ativo;MODELO;Tensão;Potencia;Localidade;POLO;SS aberta;OS Associada;Ativo (2);Defeito identificado;Necessário COEP Requisitar material;Cod Material P/ Requisitar;Tecnico Responsável;Previsão de Regularização COCM;Status da Substituição;Equipamento Entregue ?;Data da Substituição;OBRA;SIGCCO;Deposito;EMD;Status Entrega;Previsão de entrega;Data Entrega;Observação;Criticidade;Posto COEP;EL NINO
Religador;7957620015;NOJA RC10;13.8;;PEDRO AFONSO;GUARAI;ETO-COEP 00104/2025;ETO-RD-GR 00472/2026;7957620015;Rádio, antena, controle;Sim;651638;WANDER DA SILVA LEITE;2026-05-28;Concluída;Sim;;0712600316;8495;7902;508897;Concluída;2026-05-22;2026-05-22;Concluido;;;
Religador;7955520116;NOJA RC10;34.5;;CHAPADA DA NATIVIDADE;DIANÓPOLIS;ETO-COEP 00151/2026;ETO-RD-DP 01344/2026;7955520116;Tanque (parte ativa);Não;;Dener Soares;;NA;NA;NA;0512600178;8495;;;Pendente;;;;;ETO-RD-DP 1344/2026;
Religador;7900594026;COOPER F6;34.5;;PONTE ALTA DO TOCANTINS;PORTO NACIONAL;ETO-COEP 00113/2026;ETO-RD-PO 01860/2026;7900594026;Parte Ativa e o Tanque;Não;;Edson Curcino;2026-07-10;2026-07-06;Sim;2026-07-10;0312600354;Indeferir a obra;;;Concluída;2026-07-06;2026-07-06;Deslocamento  da ASPO Alinhado com o Allan de Guaraí para Pedro Afonso;Muito Alta;ETO-RD-PO 185/2026;
Religador;7953610256;NOJA RC10;34.5;;MATEIROS;PONTE ALTA TOCANTINS;ETO-COEP 50/2026;ETO-RD-PO 2020/2026;7953610256;Tanque;Não;;Edson Curcino;;;Sim;2026-07-23;;;;;Concluída;;;Utilizaremos o que foi direcionado para o Polo Paraíso que já estava em operação e enviar para esse caso;;ETO-RD-PO 208/2026;
Religador;7943790134;NOJA RC10;34.5;;ESPERANTINA;AUGUSTINOPOLIS;ETO-COEP 00181/2025;ETO-RD-AG 365/2026;7943790134;Tanque;Sim;;Luanderson;2026-06-02;Concluída;Sim;2026-06-06;0662600266;8495;6905;508887;Concluída;2026-05-22;2026-05-22;Ainda no nosso posto , mas de acordo com o Luanderson vai disponibilizar a equipe na terça-feira 03/06;Muito Alta;ETO-TELE 00869/2026;
Religador;7938137007;SCHNEIDER ADVC;13.8;;MIRACEMA DO TOCANTINS;MIRACEMA DO TOCANTINS;ETO-COEP 00034/2026;ETO-RD-PS 00193/2026;7938137007;Rádio, trafo,Tanque e Controle;Sim;;Vinicius Camargo Costa;Não podermos atender agora, rádio foi requisitado para obra do PN;NA;Não;;0212600423;8495;;;Pendente;;;Não Houve entrega do Material;Baixa;;
Religador;7934698002;NOJA RC10;13.8;;TOCANTINOPOLIS;TOCANTINOPOLIS;ETO-COEP 00094/2025;ETO-RD-AG 364/2026;7934698002;Completo;Sim;;Luanderson;2026-06-03;Concluída;Sim;2026-05-30;0662600265;8495;6905;508891;Concluída;2026-05-22;2026-05-22;Concluido;Alta;ETO - RD-AG 549/2025;
Religador;7933766059;NOJA RC10;13.8;;TAQUARALTO;TAQUARALTO;ETO-COEP 00211/2025;ETO-RD-PA 00283/2026;7933766059;Tanque;Sim;;Marcelo Primo;2026-07-15;Concluída;Sim;2026-07-16;0112600424;8495;1905;510199;Concluída;2026-07-01;2026-07-15;Em andamento;Muito Alta;SS ETO-RD-PA 00431/2026;
Religador;7933726256;NOJA RC10;34.5;;MATEIROS;PONTE ALTA TOCANTINS;ETO-COEP 00108/2026;ETO-RD-PO 1859/2026;7933726256;Tanque;Sim;;Edson Curcino;2026-07-07;Concluída;Sim;2026-07-07;0312600351;8495;;;Concluída;;;Utilizaremos o que foi direcionado para Santa Rita , Favor Cancelar a obra COCM´S;Muito Alta;ETO-RD-PO 181/2026;
Religador;7931610122;NOJA RC10;13.8;;PALMAS;PALMAS;ETO-COEP 00206/2025;ETO-RD-PA 00282/2026;7931610122;Tanque e antena;Sim;;Marcelo Primo;2026-07-15;Concluída;Sim;2026-07-16;0112600383;8495;1905;510192;Concluída;2026-07-01;2026-06-29;Em andamento;Muito Alta;SS ETO-RD-PA 433/2026;
