Ativo;Tipo;Localidade;Posto;Criticidade;Status;SS;Tensão;Marca;Material;Código;Qtd;Valor Unitário;Valor Total
7900117013;Religador;PARAISO DO TOCANTINS;ETO-COEP;Muito Alta;Equipamento entregue ao COCM;ETO-COEP 00084/2026;13,8;COOPER F6;690001 · Tanque / Parte ativa — Religador 13,8 kV;690001;1;21785.72;21785.72
7900117013;Religador;PARAISO DO TOCANTINS;ETO-COEP;Muito Alta;Equipamento entregue ao COCM;ETO-COEP 00084/2026;13,8;COOPER F6;690916 · Controle — Religador 13,8 kV;690916;1;33816.82;33816.82
7900453110;Religador;SANTA RITA DO TOCANTINS;ETO-COEP;Muito Alta;Em processo de aquisição;ETO-COEP 00087/2026;34,5;COOPER F6;690005 · Tanque / Parte ativa — Religador 34,5 kV;690005;1;38151.48;38151.48
7900453110;Religador;SANTA RITA DO TOCANTINS;ETO-COEP;Muito Alta;Em processo de aquisição;ETO-COEP 00087/2026;34,5;COOPER F6;692263 · Controle — Religador 34,5 kV;692263;1;38094.72;38094.72
7900573047;Religador;FIGUEIROPOLIS;ETO-RD-GU;Alta;Equipamento entregue ao COCM;ETO-RD-GU 00712/2026;13,8;COOPER F6;690001 · Tanque / Parte ativa — Religador 13,8 kV;690001;1;21785.72;21785.72
7900573047;Religador;FIGUEIROPOLIS;ETO-RD-GU;Alta;Equipamento entregue ao COCM;ETO-RD-GU 00712/2026;13,8;COOPER F6;690916 · Controle — Religador 13,8 kV;690916;1;33816.82;33816.82
7900594026;Religador;PONTE ALTA TOCANTINS;ETO-RD-PO;Muito Alta;Equipamento entregue ao COCM;ETO-PROT  000148/2026;34,5;COOPER F6;690005 · Tanque / Parte ativa — Religador 34,5 kV;690005;1;38151.48;38151.48
7900594026;Religador;PONTE ALTA TOCANTINS;ETO-RD-PO;Muito Alta;Equipamento entregue ao COCM;ETO-PROT  000148/2026;34,5;COOPER F6;692263 · Controle — Religador 34,5 kV;692263;1;38094.72;38094.72
7903112004;Religador;ARAGUAINA;ETO-COEP;Alta;Em processo logístico;ETO-COEP 00184/2025;34,5;COOPER F6;690005 · Tanque / Parte ativa — Religador 34,5 kV;690005;1;38151.48;38151.48
7903112004;Religador;ARAGUAINA;ETO-COEP;Alta;Em processo logístico;ETO-COEP 00184/2025;34,5;COOPER F6;692263 · Controle — Religador 34,5 kV;692263;1;38094.72;38094.72
7908686014;Religador;PIUM;ETO-RD-PS;Muito Alta;Equipamento entregue ao COCM;ETO-RD-PS 00302/2026;34,5;NOJA RC10;690005 · Tanque / Parte ativa — Religador 34,5 kV;690005;1;38151.48;38151.48
7908705049;Religador;AURORA DO TOCANTINS;ETO-RD-DP;Muito Alta;Equipamento entregue ao COCM;ETO-RD-DP 00409/2026;13,8;COOPER F6;690001 · Tanque / Parte ativa — Religador 13,8 kV;690001;1;21785.72;21785.72
7908705049;Religador;AURORA DO TOCANTINS;ETO-RD-DP;Muito Alta;Equipamento entregue ao COCM;ETO-RD-DP 00409/2026;13,8;COOPER F6;690916 · Controle — Religador 13,8 kV;690916;1;33816.82;33816.82
7920024127;Religador;PALMEIRAS DO TOCANTINS;ETO-COEP;Alta;Em processo de aquisição;ETO-COEP 00120/2025;34,5;SCHNEIDER ADVC;690005 · Tanque / Parte ativa — Religador 34,5 kV;690005;1;38151.48;38151.48
7920024127;Religador;PALMEIRAS DO TOCANTINS;ETO-COEP;Alta;Em processo de aquisição;ETO-COEP 00120/2025;34,5;SCHNEIDER ADVC;692263 · Controle — Religador 34,5 kV;692263;1;38094.72;38094.72
7920024127;Religador;PALMEIRAS DO TOCANTINS;ETO-COEP;Alta;Em processo de aquisição;ETO-COEP 00120/2025;34,5;SCHNEIDER ADVC;90556 · Chave faca;90556;1;736.43;736.43
7923673004;Religador;ARAGUAINA;ETO-COEP;Muito Alta;Em processo de aquisição;ETO-COEP 00124/2026;13,8;ARTECHE P500;690001 · Tanque / Parte ativa — Religador 13,8 kV;690001;1;21785.72;21785.72
7923673004;Religador;ARAGUAINA;ETO-COEP;Muito Alta;Em processo de aquisição;ETO-COEP 00124/2026;13,8;ARTECHE P500;690916 · Controle — Religador 13,8 kV;690916;1;33816.82;33816.82
7925087021;Religador;PARANA;ETO-RD-GU;Alta;Equipamento entregue ao COCM;ETO-RD-GU 00711/2026;34,5;NOJA RC10;690005 · Tanque / Parte ativa — Religador 34,5 kV;690005;1;38151.48;38151.48
